record_id,Wave,Cohort,PID,birth_sex,participant_age,Alerting_Z,Orienting_Z,Flanker_Z,OBJ_AvgPickups_Z,OBJ_AvgNotifs_Z,OBJ_Usage.DailyHourlyAverage.Z,sas_agg.clean.Z,MTES_SocialMediaUse_TimeOnApp.sum,MTES_PhoneChecking.mean,MTES_PublicUpdates.mean,MTES_SocialMediaUse_TimeOnApp.sum.z,MTES_PhoneChecking.mean.z,MTES_PublicUpdates.mean.z,MTES_Total_Original.z,SSM,hdprime,ldprime,overall_dprime,average_dti_fa,des_agefirst,years_of_use,Barratt_sum_score,texi_sum_score,texi_z_score,Bar_z
46,1,1,1001,1,10,-0.527723006,1.894587566,0.009945173,-0.383070036,-0.417469409,2.184727087,1.231378486,14,3.666666667,3.5,0.150751764,0.30622732,1.03948456,0.498821215,3.914926788,NA,NA,NA,NA,8,2,15,45,-0.073194828,-0.914329207
47,1,1,1002,2,10,0.438255127,-0.052498605,-0.054103817,-0.773371726,-0.911351832,-1.393863416,-2.285071368,0,2.333333333,0,-1.630689034,-0.505050278,-1.176730834,-1.104156715,-4.783091499,-1.200241023,-1.160700213,-1.180497495,NA,10,0,21,39,-0.593054483,0.927485023
57,1,1,1005,1,8,1.005240782,-0.335943986,-0.006593115,NA,NA,NA,-2.285071368,0,0,0,-1.630689034,-1.924786075,-1.176730834,-1.577401981,#VALUE!,2.930296455,2.544110714,2.648816969,NA,NA,#VALUE!,21,27,-1.632773792,1.848392139
63,1,1,1006,1,8,NA,NA,NA,NA,NA,NA,-1.531546399,3,0.666666667,0,-1.248951721,-1.519147276,-1.176730834,-1.314943277,#VALUE!,3.304224074,3.163864863,3.231390261,NA,NA,#VALUE!,18,45,-0.073194828,0.236804687
75,1,1,1018,1,7,0.341298248,-0.71984276,0.712428385,NA,NA,NA,NA,0,0.333333333,0,-1.630689034,-1.721966675,-1.176730834,-1.509795514,#VALUE!,-0.484896494,-1.072548075,-0.765467823,NA,NA,#VALUE!,18,46,0.013448447,-0.223648871
76,1,1,1011,2,12,0.621522264,0.654058638,-0.217581215,NA,NA,NA,-1.02919642,10,0,2,-0.358231322,-1.924786075,0.089677963,-0.731113144,#VALUE!,-1.303646546,-1.505000628,-1.402520773,NA,NA,#VALUE!,18,39,-0.593054483,0.697258245
96,1,1,1009,2,8,NA,NA,NA,NA,NA,NA,2.236078444,9,4.333333333,4,-0.485477093,0.711866119,1.35608676,0.527491929,#VALUE!,3.53867159,2.763979304,3.093736861,NA,NA,#VALUE!,23,44,-0.159838104,0.006577908
115,1,1,1017,1,7,-1.021243567,-0.335213966,0.330189027,NA,NA,NA,NA,3,0.666666667,0,-1.248951721,-1.519147276,-1.176730834,-1.314943277,#VALUE!,1.328629533,0.752902163,1.027609962,NA,4,3,21,35,-0.939627586,0.006577908
116,1,1,1003,2,12,-1.010839969,-0.263097404,0.791590697,NA,NA,-1.164466588,-0.652433936,21,2.333333333,0,1.041472162,-0.505050278,-1.176730834,-0.213436316,-2.03033684,1.555213007,1.15592798,1.346475035,NA,10,2,20,41,-0.419767931,-1.144555986
127,1,1,1007,2,9,-0.051341248,2.113677967,1.668235153,NA,NA,NA,-2.285071368,0,0,0,-1.630689034,-1.924786075,-1.176730834,-1.577401981,#VALUE!,-1.552599446,-0.933872936,-1.199997845,NA,NA,#VALUE!,18,34,-1.026270862,1.157711802
132,1,1,1014,2,9,0.151685875,0.052100212,-0.728646656,NA,NA,NA,-2.285071368,4,0.333333333,0,-1.121705949,-1.721966675,-1.176730834,-1.340134486,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,17,42,-0.333124656,0.006577908
133,1,1,1008,2,10,-0.437865703,0.477925523,1.282355279,NA,NA,NA,-1.908308884,1,0.333333333,0,-1.503443263,-1.721966675,-1.176730834,-1.467380257,#VALUE!,-2.544110714,-2.544110714,-2.544110714,NA,NA,#VALUE!,17,66,1.746313963,-1.374782765
136,1,1,1010,2,9,-1.291996553,0.439501894,-1.729716732,NA,NA,NA,-2.285071368,5,0.666666667,0.5,-0.994460178,-1.519147276,-0.860128635,-1.124578696,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA
153,1,1,1004,2,NA,-0.294652878,0.255157962,0.005632978,-1.144158331,-1.025324699,0.25779374,-0.526846441,14,4.333333333,1,0.150751764,0.711866119,-0.543526436,0.106363816,-0.162688885,NA,NA,NA,NA,9,3,21,62,1.39974086,-1.374782765
155,1,1,1015,2,9,0.983349079,-0.525823018,0.064917733,NA,NA,NA,-2.285071368,10,0,0,-0.358231322,-1.924786075,-1.176730834,-1.15324941,#VALUE!,-0.72597852,-0.752098465,-0.728516483,NA,NA,#VALUE!,22,40,-0.506411207,0.236804687
160,1,1,1013,1,11,0.862583569,-0.413988138,0.240875777,0.768319949,0.623482775,-0.292758645,-0.778021431,7,3,3.5,-0.739968635,-0.099411479,1.03948456,0.066701482,-1.004078594,NA,NA,NA,NA,10,1,NA,NA,NA,NA
