record_id,PID,des_own,sas,mtes,Age
1754,1127,1,-0.4012589,-0.7520983,12
1781,1129,1,1.60814097,-0.9093045,10
1806,1128,1,-0.2756715,-1.577402,10
1789,1126,1,-0.2756715,-0.0802397,11
1577,1125,1,-0.0244965,0.86232633,12
1703,1124,0,NA,-1.577402,12
1634,1122,0,NA,-1.0856429,8
1512,1121,0,NA,-1.4501562,9
1511,1119,0,NA,-1.4925715,12
1671,1118,1,-1.6571339,-0.3506656,11
1614,1117,1,0.854616,0.32944176,12
1616,1116,1,-0.7780214,-0.8586405,9
1661,1115,1,-2.0338964,-1.4501562,7
1609,1114,1,-0.2756715,-1.0193262,11
1468,1113,1,NA,-1.5097955,7
1462,1112,0,NA,-1.577402,7
1632,1111,1,-1.0291964,-0.0575198,12
1611,1110,1,-0.2756715,-0.1867819,11
1631,1109,1,1.73372847,-0.4427367,9
1620,1108,1,-0.4012589,-0.7348742,10
1560,1107,1,0.35226602,-0.3554348,12
1556,1106,1,-1.9083089,-1.5349867,9
1574,1105,0,NA,-1.3653257,9
1610,1104,0,NA,-1.407741,12
1484,1103,0,NA,-1.577402,7
1617,1102,1,-0.2756715,-0.8828235,9
1598,1101,0,NA,-1.4925715,7
1493,1100,1,-1.1547839,-0.4951354,11
1463,1099,1,-1.7827214,0.05076716,10
1456,1098,1,-0.6524339,-0.3764199,10
1569,1097,0,NA,-1.2473368,11
1554,1096,1,-0.2756715,0.44165326,7
1477,1095,1,-0.5268464,-0.43129,11
1565,1094,1,-0.0244965,-1.4501562,9
1572,1093,1,1.35696598,-0.5964634,9
1525,1092,1,1.98490346,0.30744848,9
1496,1091,0,NA,-0.3296804,11
1497,1090,1,0.47785352,0.24982548,10
1538,1089,0,NA,-1.4501562,10
1491,1088,1,-0.9036089,-0.4564812,11
1518,1087,1,1.10579099,0.68021048,11
1485,1086,1,-0.6524339,-1.1166115,8
1489,1085,1,-0.150084,-0.9093045,9
1474,1084,0,NA,-1.577402,7
1473,1083,0,NA,-1.577402,10
1567,1082,0,NA,-1.577402,7
1498,1081,1,-0.9036089,-1.1966728,9
1457,1080,1,0.35226602,-0.4268023,11
1440,1079,1,0.47785352,-0.2332398,12
1386,1078,0,NA,-1.577402,9
1442,1077,1,-1.5315464,-1.2897521,10
1443,1076,1,-1.7827214,-0.4599607,7
1434,1075,1,-0.2756715,-0.5078718,10
915,1074,1,-1.7827214,-1.2473368,11
1264,1073,1,0.72902851,0.52502058,11
1253,1072,1,NA,-0.4060988,8
1393,1071,1,-1.6571339,-0.0553301,10
1356,1070,1,-1.0291964,-1.4294527,8
1377,1069,1,1.48255348,0.60884294,11
1180,1068,1,-0.4012589,-1.3401345,7
1199,1067,1,0.22667853,0.63083622,11
1065,1066,1,0.854616,-0.7992828,10
1210,1065,1,0.47785352,0.30946479,12
1208,1064,0,NA,-1.1118423,8
1207,1063,0,NA,-1.1704735,11
1146,1062,0,NA,-1.577402,8
1126,1061,1,-0.7780214,-0.2968036,10
1121,1060,1,-0.5268464,-1.2221456,9
1135,1059,1,0.9802035,-0.5872065,9
1129,1058,0,NA,-0.8162252,10
1147,1057,1,-0.150084,-0.0553301,10
1107,1056,1,-0.5268464,0.67745756,11
1083,1055,1,1.23137849,-0.2239829,8
1117,1054,1,-0.2756715,-1.1545391,9
1116,1053,1,-1.7827214,-0.7508085,11
1089,1052,1,-0.5268464,-0.8496652,9
876,1051,1,-0.9036089,-0.1987917,12
975,1050,1,1.60814097,0.20292257,12
977,1049,1,0.35226602,0.08044603,12
923,1048,0,NA,-0.5869249,9
968,1047,0,NA,-0.7114177,10
905,1046,0,NA,-1.577402,7
950,1045,0,NA,0.08841319,11
935,1044,1,0.10109103,-1.4501562,9
952,1043,0,NA,-1.1714816,7
940,1042,0,NA,-1.0477153,9
863,1041,1,-0.150084,0.55240157,10
902,1040,1,-0.150084,-0.9769109,8
888,1039,1,0.10109103,-1.0948998,10
887,1038,1,0.10109103,-0.3591959,12
851,1037,1,0.9802035,1.06615388,12
773,1036,1,0.10109103,-0.5116328,8
772,1035,0,NA,0.10984332,10
782,1034,1,1.35696598,1.44486674,10
781,1033,1,0.72902851,1.21034213,12
774,1032,1,0.47785352,-0.2823325,12
758,1031,0,NA,-1.255304,9
689,1030,0,NA,-1.577402,7
688,1029,0,NA,-1.5349867,7
629,1028,1,1.10579099,-1.0365502,9
704,1027,1,-0.9036089,0.6926653,10
511,1026,0,NA,-1.2380799,7
510,1025,0,NA,-1.4501562,9
509,1024,1,-2.1594839,-0.6388786,10
508,1023,1,-0.7780214,-1.1759693,11
507,1022,1,0.35226602,-0.5116328,12
339,1021,1,-2.2850714,-1.5349867,9
395,1020,0,NA,-1.577402,7
393,1019,1,-2.2850714,-1.3870374,11
75,1018,0,NA,-1.5097955,7
115,1017,0,NA,-1.3149433,7
180,1016,0,NA,-1.577402,10
155,1015,0,NA,-1.1532494,9
132,1014,0,NA,-1.3401345,9
169,1012,1,-2.1594839,-0.9893658,11
76,1011,0,NA,-0.7311131,12
96,1009,1,2.23607844,0.52749193,8
133,1008,0,NA,-1.4673803,10
127,1007,0,NA,-1.577402,9
63,1006,0,NA,-1.3149433,8
57,1005,0,NA,-1.577402,8
153,1004,1,-0.5268464,0.10636382,12
116,1003,1,-0.6524339,-0.2134363,12
47,1002,1,-2.2850714,-1.1041567,10
