"PID","shs_tv","shs_computer","shs_phone","record_id","MTES_Streaming_Composite"
1002,0,0,0,47,10
1003,0,1,0,116,23
1004,1,0,1,153,37
1005,0,0,0,57,9
1006,0,0,0,63,10
1007,0,0,0,127,12
1008,0,0,0,133,9
1009,1,1,0,96,30
1011,0,0,0,76,16
1012,1,1,1,169,13
1014,0,0,0,132,5
1015,NA,NA,NA,155,20
1016,0,0,0,180,12
1017,1,0,0,115,8
1018,0,0,0,75,15
1019,0,0,0,393,9
1020,0,0,0,395,8
1021,0,1,1,339,9
1022,1,1,1,507,19
1023,1,1,1,508,10
1024,1,1,1,509,12
1025,1,1,0,510,9
1026,1,0,0,511,16
1027,0,1,1,704,9
1028,NA,NA,NA,629,5
1029,0,0,0,688,7
1030,0,0,0,689,8
1031,1,1,1,758,13
1032,0,1,1,774,32
1035,1,0,1,772,15
1036,1,0,0,773,18
1037,1,1,1,851,27
1037,1,1,1,806,0
1038,1,0,1,887,22
1039,1,0,1,888,11
1040,NA,NA,NA,902,10
1041,NA,NA,NA,863,22
1042,1,0,0,940,17
1043,1,0,0,952,13
1044,1,0,0,935,8
1045,1,0,1,950,21
1046,1,0,0,905,13
1047,1,0,0,968,16
1048,1,0,0,923,14
1049,0,0,1,977,12
1050,1,1,1,975,22
1051,0,0,0,876,15
1052,1,0,1,1089,15
1053,1,1,0,1116,6
1054,1,1,0,1117,14
1055,1,1,1,1083,25
1056,1,0,1,1107,34
1057,1,0,1,1147,18
1058,0,0,0,1129,21
1059,1,0,1,1135,20
1060,1,0,1,1121,15
1061,1,0,0,1126,29
1062,0,0,0,1146,10
1063,0,0,1,1207,18
1064,0,0,0,1208,13
1065,1,0,1,1210,26
1066,0,0,0,1065,13
1067,NA,NA,NA,1199,24
1068,0,0,0,1180,19
1069,1,0,1,1377,28
1070,0,0,0,1356,17
1071,0,1,0,1393,13
1072,0,0,0,1253,14
1073,0,0,0,1264,26
1074,0,0,1,915,5
1077,1,0,1,1442,8
1078,0,0,0,1386,15
1079,1,0,0,1440,16
1080,1,1,1,1457,25
1081,1,1,0,1498,13
1082,NA,NA,NA,1567,9
1083,0,0,0,1473,9
1084,0,0,0,1474,10
1085,1,0,1,1489,19
1086,1,0,1,1485,9
1087,0,1,1,1518,40
1088,1,1,0,1491,23
1089,0,0,0,1538,10
1091,1,0,0,1496,20
1092,1,0,1,1525,27
1093,1,0,1,1572,27
1094,0,0,0,1565,12
1095,0,1,1,1477,5
1096,1,0,1,1554,15
1097,1,0,0,1569,10
1098,0,0,0,1456,20
1099,1,0,0,1463,18
1101,0,0,0,1598,14
1106,0,0,0,1556,17
1107,0,1,1,1560,15
1108,1,0,1,1620,21
1109,1,1,1,1631,26
1111,0,0,1,1632,18
1112,0,0,0,1462,7
1113,0,0,0,1468,12
1114,NA,NA,NA,1609,17
1115,0,0,0,1661,12
1116,0,1,1,1616,16
1116,0,1,1,1467,16
1117,0,1,1,1614,28
1118,1,0,1,1671,18
1119,0,0,0,1511,13
1121,0,0,0,1512,17
1122,1,1,0,1634,28
1124,NA,NA,NA,1703,5
1125,1,0,1,1577,25
1126,1,1,1,1789,16
1128,1,0,0,1806,9
1129,0,1,0,1781,15
1130,NA,NA,NA,1927,6
1131,NA,NA,NA,1926,21
