PID,participant_age,adol_wb_sum,MTES_SocialMediaUse_TimeOnApp.sum.z,MTES_PhoneChecking.mean.z,MTES_PublicUpdates.mean.z,mtes_total_zscores,sas_zscore,rpi_score,rpi_zscore,yrbs_z_score_2000_3000,yrbs_z_score_1000,positiveriskfreq_mean,negativerisk_ever_mean,positiverisk_ever_mean,negativeriskfreq_mean,zuckerman.mean,bas.sum,shs_bed_school,shs_bed_school_reason,shs_bed_school_other,shs_latency_school,shs_wake_school,shs_wake_school_reason,shs_wake_school_other,shs_home_leave,shs_school_transport,shs_bed_weekend,shs_bed_weekend_reason,shs_bed_weekend_other,shs_latency_weekend,shs_wake_weekend,shs_wake_weekend_reason,shs_wake_weekend_other,shs_wake_night,shs_sleepy_day,shs_nap_school,shs_nap_weekend,shs_sleep_needed_hours,shs_sleep_needed_minutess,shs_sleep_amount,shs_sleep_opinion,shs_sleep_school_enough,shs_sleep_weekend_enough,shs_sleep_class,shs_sleep_computer,shs_sleep_study,shs_sleep_test,shs_sleep_travel,shs_sleep_perform,shs_sleep_tvmusic,shs_sleep_game,shs_sleep_car,shs_sleep_convo,shs_caffeine,shs_coffeetea,shs_alcohol,shs_drugs,shs_overslept,shs_mornclass,shs_noonclass,shs_wokeup,shs_3am,shs_noon,shs_draggedout,shs_multiple,shs_insomnia,shs_nightmare,shs_stayawake,shs_dangerous,shs_goodsleep,shs_overslept_bothered,shs_too_tired,shs_stayasleep,shs_sad,shs_hopeless,shs_nervous,shs_worrying,shs_school_start,shs_test,shs_energy,shs_body,shs_job,shs_job_when___1,shs_job_when___2,shs_job_when___3,shs_job_when___4,shs_job_hours_school,shs_job_hours_weekend,shs_job_sleep,shs_job_no_bed,shs_job_no_wake,shs_study,shs_study_when___1,shs_study_when___2,shs_study_when___3,shs_study_when___4,shs_study_school,shs_study_weekend,shs_study_sleep,shs_study_no_bed,shs_study_no_wake,shs_sports,shs_sports_when___1,shs_sports_when___2,shs_sports_when___3,shs_sports_when___4,shs_sports_school,shs_sports_weekend,shs_sports_sleep,shs_sports_no_bed,shs_sports_no_wake,shs_orgactivity,shs_orgactivity_when,shs_orgactivity_school,shs_orgactivity_weekend,shs_orgactivity_sleep,shs_orgactivity_no_bed,shs_orgactivity_no_wake,shs_grades,shs_car,shs_accident,shs_disabilities,shs_healthquality,shs_medication,shs_stayhome_sick,shs_stayhome_other,shs_tv,shs_computer,shs_phone,shs_race___1,shs_race___2,shs_race___3,shs_race___4,shs_race___5,shs_race___6,shs_race___7,shs_race_other,birth_sex,participant_age,Flanker_Z,OBJ_AvgPickups_Z,OBJ_AvgNotifs_Z,OBJ_Usage.DailyHourlyAverage.Z,SSM,overall_dprime,texi_z_score,Bar_z,DD_Indiff_Avg,ema_mood_during_use,ema_mood_use_assosciation,ema_negative_exposure,ema_avg_use,obj
1002,10,7,-1.507113771,-0.495072793,-1.179601059,-1.060595874,-2.283611806,2.384615385,-0.480620232,NA,1.31921482,0.714285714,0,0.642857143,0,0.5,30,20:30,1,,1,6:30,6,I need to get ready for school.,7:10,4,22:00,2,,1,8:45,5,,0,0,1,1,10,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,1,3,1,3,2,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,1,1,0,2,0,0,3,3,1,0,0,1,1,2,4,0,3,3,1,2,3,0,0,3,3,1,0,NA,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,N/A,2,10,-0.054103817,-0.773371726,-0.911351832,-1.393863416,-4.783091499,-1.180497495,-0.593054483,0.927485023,445.6666667,,,,,2
1003,12,4,1.00002823,-0.495072793,-1.179601059,-0.224881874,-0.637762172,2.538461538,-0.087595377,NA,-0.669781181,0.857142857,0.142857143,0.785714286,0.142857143,0.666666667,27,22:00,5,,3,6:00,3,,7:00,2,2:00,4,,2,11:00,5,,0,1,1,1,8,120,3,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,5,2,2,3,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,0,NA,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,Black,2,12,0.791590697,NA,NA,-1.164466588,-2.03033684,1.346475035,-0.419767931,-1.144555986,370.6666667,,,,,2.833333333
1004,12,9,0.09745711,0.722112545,-0.534206291,0.095121121,-0.511158354,2.692307692,0.305429479,NA,NA,2,0.428571429,1,0.714285714,0.666666667,17,19:00,2,,2,6:00,3,,8:00,2,21:00,2,,2,10:00,5,,0,1,2,2,7,30,2,1,2,3,0,0,0,0,2,2,2,0,0,1,2,0,0,0,0,0,0,3,0,1,3,3,0,0,3,0,3,0,3,1,0,0,0,0,6,2,2,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,4,0,NA,1,3,0,0,0,1,0,1,0,1,0,0,0,0,0,black,2,NA,0.005632978,-1.144158331,-1.025324699,0.25779374,-0.162688885,NA,1.39974086,-1.374782765,,,,,,8
1005,8,5,-1.707685131,-1.915122355,-1.179601059,-1.600802848,-2.283611806,2.769230769,0.501941907,NA,-0.22778207,0.714285714,0,0.571428571,0,0.833333333,28,20:00,1,,2,7:00,5,,8:30,3,21:00,1,,2,7:00,5,,1,0,0,0,10,0,2,1,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,1,1,1,0,1,1,4,2,2,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,1,0,3,1.5,0,1,3,0,NA,NA,NA,NA,NA,NA,1,0,NA,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,na,1,8,-0.006593115,NA,NA,NA,0,2.648816969,-1.632773792,1.848392139,628.5,,,,,0
1006,8,9,-1.206256731,-1.509393909,-1.179601059,-1.298417233,-1.523988898,2.769230769,0.501941907,NA,-0.006782514,1.142857143,0,0.714285714,0,0,30,20:00,1,,2,6:45,1,,8:30,1,21:00,1,,2,6:45,1,,1,0,1,1,9,0,2,1,3,3,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,3,0,0,1,3,0,3,3,5,2,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,1,0,0,2,2,0,3,3,1,0,1,1,1,3,1,0,3,3,1,2,1,0,0,3,3,1,0,NA,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,Chinese American,1,8,NA,NA,NA,NA,0,3.231390261,-0.073194828,0.236804687,545.6666667,,,,,0
1007,9,4,-1.507113771,-1.915122355,-1.179601059,-1.533945728,-2.283611806,2.615384615,0.108917051,NA,0.214217042,0.714285714,0,0.571428571,0,0.5,32,20:00,1,,2,6:00,3,,7:25,3,21:00,7,I don't like to be the last one awake,2,8:00,5,,0,0,0,2,9,0,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,4,2,2,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,NA,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,n/a,2,9,1.668235153,NA,NA,NA,0,-1.199997845,-1.026270862,1.157711802,430,,,,,0
1008,10,8,-1.406828091,-1.712258132,-1.179601059,-1.43289576,-1.903800352,2.692307692,0.305429479,NA,0.435216597,1.214285714,0.142857143,0.714285714,0.142857143,0.666666667,23,21:00,1,,1,6:45,3,,7:40,3,22:00,2,,1,9:30,5,,0,1,0,0,12,0,2,1,3,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,1,3,0,0,0,3,0,0,0,6,2,2,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,NA,1,4,0,3,0,0,0,0,1,0,0,0,0,0,0,n/a,2,10,1.282355279,NA,NA,NA,0,-2.544110714,1.746313963,-1.374782765,499.3333333,,,,,0
1009,8,6,-0.604542651,0.722112545,1.401978012,0.506515969,2.274125641,3,1.091479191,NA,0.877215709,0.857142857,0.428571429,0.5,0.571428571,0.5,34,9:00,4,,1,6:00,2,,9:00,5,10:00,2,,1,3:00,5,,2,0,0,1,8,50,2,1,3,2,1,1,2,1,2,2,1,1,1,1,0,0,0,0,0,1,1,0,1,0,2,3,2,2,2,0,2,2,2,2,2,0,1,2,6,3,3,3,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,0,NA,2,3,0,0,0,1,1,0,0,0,0,0,0,0,1,Native American ,2,8,NA,NA,NA,NA,0,3.093736861,-0.159838104,0.006577908,33,,,,,0
1011,12,9,-0.504256971,-1.915122355,0.111188477,-0.76939695,-1.017573626,2.769230769,0.501941907,NA,-0.006782514,1.214285714,0.142857143,0.785714286,0.142857143,0.5,33,22:00,1,,2,8:30,4,,10:00,1,23:00,2,,1,8:30,4,,0,0,0,2,10,59,1,1,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,4,0,1,1,2,0,3,4,6,3,3,2,1,0,1,0,0,10,0,0,3,3,1,1,0,0,0,1,0,0,3,3,1,0,0,0,1,0,1,0,3,3,1,2,3,0,0,3,3,2,0,NA,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,im white,2,12,-0.217581215,NA,NA,NA,0,-1.402520773,-0.593054483,0.697258245,986.5,,,,,0
1012,11,8,-1.105971051,-1.103665463,-0.856903675,-1.022180063,-2.157007988,2.692307692,0.305429479,NA,0.656216153,1.142857143,0.142857143,0.785714286,0.142857143,0.666666667,29,20:00,2,,2,8:00,3,,8:30,4,12:00,2,,2,10:00,5,,0,1,2,0,8,0,3,1,1,3,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,2,0,2,2,2,0,1,1,1,0,2,3,6,2,4,3,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,NA,2,3,0,0,0,1,1,1,1,0,0,0,0,0,0,No,1,11,-0.285346421,-0.607493508,-0.972137361,-1.669139608,-4.817989244,0.951962241,0.619951378,-0.684102429,532.6666667,,,,,1
