PID,record_id,total_minutes_1,total_minutes_2,total_minutes_3,total_minutes_4,pickup1,pickup2,pickup3,pickup4,notif1,notif2,notif3,notif4
1002,47,120,37,220,60,40,58,165,50,40,20,31,50
1005,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1018,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1017,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,116,170,480,600,NA,NA,6,10,NA,NA,6,10,NA
1007,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1014,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,153,480,NA,NA,1200,2,NA,NA,20,25,NA,NA,20
1015,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1012,169,60,244,133,140,57,179,136,116,32,167,74,57
1016,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1021,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1019,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1020,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1022,507,150,540,540,660,1,43,58,113,1,76,103,236
1023,508,NA,NA,NA,NA,NA,3,NA,NA,NA,14,NA,NA
1024,509,NA,NA,210,480,NA,NA,4,13,NA,NA,5,70
1025,510,NA,NA,210,NA,NA,NA,3,NA,NA,NA,5,NA
1026,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1028,629,NA,NA,121,420,NA,NA,4,NA,NA,NA,2,2
1029,688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1030,689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1031,758,NA,100,280,925,NA,2,3,20,NA,4,5,50
1035,772,NA,1200,1454,2943,NA,NA,10,467,NA,NA,849,1256
1036,773,NA,NA,NA,NA,NA,3,47,NA,NA,NA,NA,NA
1032,774,750,NA,NA,183,NA,NA,3,6,NA,NA,14,7
1037,851,NA,714,6005,NA,13,21,126,3,380,88,299,5
1051,876,210,274,467,150,30,80,72,66,50,22,38,47
1038,887,320,839,NA,NA,78,55,34,26,54,140,59,75
1039,888,450,18,NA,161,31,NA,4,2,40,24,5,17
1046,905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1074,915,NA,NA,240,1964,42,19,68,107,103,105,191,137
1048,923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1044,935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1042,940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1045,950,NA,270,1207,1215,NA,10,NA,2,NA,NA,30,35
1043,952,NA,NA,150,NA,NA,NA,2,NA,NA,NA,10,NA
1047,968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1050,975,NA,513,553,409,1,174,135,103,1,279,215,205
1049,977,3261,270,320,NA,182,NA,2,NA,319,2,1,20
1066,1065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1055,1083,280,240,315,534,39,NA,4,86,35,NA,25,80
1052,1089,336,1815,319,409,43,44,45,50,39,4,48,60
1056,1107,427,649,1021,NA,86,455,111,100,76,173,322,139
1060,1121,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1061,1126,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1058,1129,NA,NA,NA,57,NA,NA,NA,1,NA,NA,NA,1
1059,1135,NA,1761,NA,NA,NA,57,NA,NA,NA,86,NA,NA
1062,1146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1057,1147,806,458,90,210,106,6,2,15,114,6,1,15
1068,1180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1067,1199,776,466,484,577,66,59,60,53,68,57,47,45
1065,1210,676,1526,157,528,59,2,95,105,42,2,5,17
1072,1253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1073,1264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1070,1356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1069,1377,236,132,96,6,53,44,66,20,48,20,6,6
1078,1386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1071,1393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1075,1434,421,210,510,NA,NA,NA,1,3,NA,NA,6,6
1079,1440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1077,1442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1098,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1080,1457,456,437,468,420,61,82,89,81,142,135,129,124
