recordid,PID,avg_minutes_clean,avg_pickups_clean,avg_notifs_clean
47,1002,105.6666667,82.75,30.25
57,1005,NA,NA,NA
63,1006,NA,NA,NA
75,1018,NA,NA,NA
76,1011,NA,NA,NA
96,1009,NA,NA,NA
115,1017,NA,NA,NA
116,1003,416.6666667,7.333333333,7.333333333
127,1007,NA,NA,NA
132,1014,NA,NA,NA
133,1008,NA,NA,NA
153,1004,840,20,20
155,1015,NA,NA,NA
169,1012,172.3333333,152.5,116.25
180,1016,NA,NA,NA
339,1021,NA,NA,NA
393,1019,NA,NA,NA
395,1020,NA,NA,NA
507,1022,472.5,64.25,122.75
508,1023,NA,3,14
509,1024,345,8.5,37.5
510,1025,210,3,5
511,1026,NA,NA,NA
629,1028,270.5,4,2
688,1029,NA,NA,NA
689,1030,NA,NA,NA
758,1031,435,6.75,15.75
772,1035,1865.666667,238.5,1052.5
773,1036,NA,17.66666667,NA
774,1032,466.5,4.5,10.5
851,1037,3359.5,42.75,120
876,1051,275.25,74.5,32.25
887,1038,579.5,42.5,103.5
888,1039,209.6666667,3,17.5
905,1046,NA,NA,NA
915,1074,1102,53.25,134.5
923,1048,NA,NA,NA
935,1044,NA,NA,NA
940,1042,NA,NA,NA
950,1045,897.3333333,7.333333333,32.5
952,1043,150,2,10
968,1047,NA,NA,NA
975,1050,491.6666667,146.5,244.5
977,1049,1283.666667,2,7.666666667
1065,1066,NA,NA,NA
1083,1055,342.25,45,52.5
1089,1052,719.75,45.75,29
1107,1056,699,280.25,201.75
1121,1060,510,NA,NA
1126,1061,225,NA,NA
1129,1058,NA,NA,NA
1135,1059,1761,57,86
1146,1062,NA,NA,NA
1147,1057,391,7.25,7
1180,1068,NA,NA,NA
1199,1067,575.75,57.75,51.5
1210,1065,721.75,51,8
1253,1072,NA,NA,NA
1264,1073,NA,NA,NA
1356,1070,NA,NA,NA
1377,1069,117.5,43.5,13
1386,1078,NA,NA,NA
1393,1071,NA,NA,NA
1434,1075,380.3333333,2,6
1440,1079,NA,NA,NA
1442,1077,NA,NA,NA
1456,1098,NA,NA,NA
1457,1080,445.25,83.5,130.75
1462,1112,NA,NA,NA
1468,1113,NA,NA,NA
1473,1083,NA,NA,NA
1474,1084,NA,NA,NA
1485,1086,346,3,NA
1489,1085,1202.5,251,44.5
1491,1088,NA,NA,NA
1493,1100,576.6666667,28,250.5
1498,1081,NA,NA,NA
1518,1087,592.5,193.75,117.75
1525,1092,404.5,31.66666667,86.66666667
1538,1089,NA,NA,NA
1565,1094,NA,NA,NA
1567,1082,NA,NA,NA
1569,1097,NA,NA,NA
1574,1105,NA,NA,NA
1577,1125,568.25,297,132
1598,1101,NA,NA,NA
1609,1114,NA,NA,NA
1610,1104,NA,NA,NA
1611,1110,72.5,9.333333333,12.33333333
1614,1117,1844.75,182.75,106.25
1620,1108,229.75,2.333333333,20.25
1631,1109,501.75,3.25,11.5
1632,1111,NA,NA,NA
1634,1122,NA,NA,NA
1661,1115,NA,NA,NA
1703,1124,383,40,20
1781,1129,600,3.3,5
1789,1126,559,19.25,24
1806,1128,509,11,4
1484,1103,NA,NA,NA
1117,1054,NA,NA,NA
1443,1076,430,1,10
1477,1095,367.5,3,3
1463,1099,140,10,10
