"PID","arsq.score","arsq_zscore"
2001,NA,NA
2002,NA,NA
2003,NA,NA
2005,NA,NA
2006,NA,NA
2007,NA,NA
2009,NA,NA
2010,6.72,-0.190231821724564
2011,NA,NA
2012,NA,NA
2013,NA,NA
2014,NA,NA
2015,NA,NA
2016,NA,NA
2017,NA,NA
2018,NA,NA
2019,NA,NA
2020,NA,NA
2021,3.78,-1.35086799473669
2022,NA,NA
2023,8.33,0.445354653972553
2024,NA,NA
2026,NA,NA
2027,NA,NA
2028,NA,NA
2029,5.5,-0.671856356103746
2030,NA,NA
2031,NA,NA
2032,NA,NA
2033,6.89,-0.123120206278285
2034,8.44,0.48877981690838
2035,NA,NA
2036,7.06,-0.0560085908320055
2037,NA,NA
2038,NA,NA
2039,NA,NA
2040,NA,NA
2041,8.28,0.425615943547176
2042,NA,NA
2043,NA,NA
2044,NA,NA
2045,6.94,-0.103381495852908
2046,NA,NA
2047,9.78,1.01777725630846
2048,4.56,-1.04294411210082
2049,NA,NA
2050,NA,NA
2051,NA,NA
2052,5.17,-0.802131844911229
2053,NA,NA
2054,NA,NA
2055,NA,NA
2056,NA,NA
2057,NA,NA
2058,NA,NA
2059,NA,NA
2060,7.61,0.161117223847134
2061,NA,NA
2062,NA,NA
2064,3.78,-1.35086799473669
2065,14,2.68372441621022
2066,NA,NA
2067,8.39,0.469041106483004
2068,NA,NA
2069,NA,NA
2070,NA,NA
2071,NA,NA
2072,NA,NA
2073,NA,NA
2074,NA,NA
2075,NA,NA
2076,NA,NA
2077,NA,NA
2078,NA,NA
2079,NA,NA
2080,NA,NA
2081,NA,NA
2082,NA,NA
2083,NA,NA
2084,NA,NA
2085,NA,NA
2086,NA,NA
2087,NA,NA
2088,NA,NA
2089,NA,NA
2090,NA,NA
2091,NA,NA
2092,NA,NA
2093,NA,NA
2094,NA,NA
2095,NA,NA
2096,NA,NA
2097,NA,NA
2098,NA,NA
2099,NA,NA
2100,NA,NA
2101,NA,NA
2102,NA,NA
2103,NA,NA
2104,NA,NA
2105,NA,NA
2106,NA,NA
2107,NA,NA
2108,NA,NA
2109,NA,NA
2110,NA,NA
2111,NA,NA
2112,NA,NA
2113,NA,NA
2114,NA,NA
2115,NA,NA
2116,NA,NA
2117,NA,NA
2118,NA,NA
2119,NA,NA
2120,NA,NA
2121,NA,NA
2122,NA,NA
2123,NA,NA
2124,NA,NA
2125,NA,NA
2126,NA,NA
2127,NA,NA
2128,NA,NA
