PID,delay_discounting_indiff_z
1084,-1.41632763
1079,0.223691033
1012,-0.132684331
1060,-1.175514763
1018,0.088060797
1105,-0.162439944
1107,-0.538191055
1009,1.941904678
1003,0.539930918
1086,-1.401795819
1123,-0.37488118
1042,0.90945411
1007,0.293582123
1051,-0.216415241
1127,-0.021965771
1082,1.107363536
1048,-0.722952651
1103,1.655420405
1066,-0.244786873
1023,0.728152469
1064,0.333717601
1099,-0.524351235
1125,-0.891798455
1080,-0.633685813
1005,-0.530579154
1118,-0.837823157
1016,-0.95822959
1063,0.581450378
1106,-0.996289095
1122,1.268597438
1087,1.391771835
1002,0.228534969
1085,0.780051794
1078,-0.978297329
1104,0.831951119
1024,-1.012896879
1061,-0.723644642
1058,0.422292449
1100,-1.324984818
1020,-2.06887514
1065,-0.803915598
1098,0.43682426
1081,-0.063485231
1124,0.335793574
1015,0.045849346
1043,0.934365786
1067,-2.043963464
1102,0.18701551
1056,0.007097851
1045,-0.100852745
1096,-0.36796127
1117,-0.942313797
1072,-1.545037956
1037,-1.551957866
1070,-0.790075778
1035,-0.511895397
1026,-0.819831391
1128,-1.15959897
1115,0.014017761
1008,0.005713869
1069,-0.167283881
1094,0.110204509
1011,-2.016975816
1028,2.027711562
1006,-0.186659629
1108,2.040859391
1050,-1.004592987
1022,0.90184221
1074,-2.068183149
1031,-0.665517399
1049,0.734380388
1111,-1.345052558
1113,0.59667418
1076,0.697704865
1033,1.220850059
1041,-0.035805591
1017,2.069231021
1039,-1.406639756
1114,-0.752016273
1034,-0.087012925
1071,0.692168937
1046,-0.644757669
1010,1.043008373
1068,2.074766949
1095,0.754448127
1097,0.072836995
1044,0.433364305
1025,2.074766949
1036,1.847101911
1073,-0.767240075
1032,0.497719467
1077,-0.872422706
1019,-0.709804822
1021,-0.456536118
1112,1.677564117
1038,0.863782705
1093,0.382848962
1014,-0.427472496
1109,0.688016992
1091,0.863782705
1029,-0.470375937
1110,0.245834744
1088,1.03401249
1030,0.494259512
1075,1.24230178
